Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 15/16,Villarreal,Espanol,3,1,H,14,4,4,2,10,20,2,3,1,6,0,0,Villarreal,Espanol
Сезон 15/16,Real Madrid,Betis,5,0,H,21,7,11,1,12,14,11,4,3,3,0,0,Real Madrid,Betis
Сезон 15/16,Eibar,Ath Bilbao,2,0,H,9,9,8,1,14,13,11,4,2,2,0,0,Eibar,Ath Bilbao
Сезон 15/16,Getafe,Granada,1,2,A,16,9,4,4,16,15,6,6,5,3,0,0,Granada,Getafe
Сезон 15/16,Sevilla,Ath Madrid,0,3,A,25,17,7,7,17,13,11,1,3,4,0,0,Ath Madrid,Sevilla
Сезон 15/16,Levante,Sevilla,1,1,D,14,8,4,3,12,8,5,4,3,3,0,0,Ничья,Ничья
Сезон 15/16,Ath Madrid,Barcelona,1,2,A,11,13,3,5,17,5,1,10,3,1,0,0,Barcelona,Ath Madrid
Сезон 15/16,Betis,Sociedad,1,0,H,9,15,2,3,12,9,2,4,4,3,1,0,Betis,Sociedad
Сезон 15/16,Espanol,Real Madrid,0,6,A,14,15,3,8,19,10,5,6,2,2,0,0,Real Madrid,Espanol
Сезон 15/16,Ath Bilbao,Getafe,3,1,H,14,11,6,3,12,15,12,5,1,4,0,0,Ath Bilbao,Getafe
Сезон 15/16,Granada,Villarreal,1,3,A,13,8,2,5,16,21,8,6,2,4,0,0,Villarreal,Granada
Сезон 15/16,Eibar,Ath Madrid,0,2,A,9,14,3,6,13,7,1,4,2,1,0,0,Ath Madrid,Eibar
Сезон 15/16,Real Madrid,Granada,1,0,H,20,12,10,3,9,15,10,1,1,3,0,0,Real Madrid,Granada
Сезон 15/16,Sociedad,Espanol,2,3,A,10,18,3,6,15,16,7,6,2,3,1,0,Espanol,Sociedad
Сезон 15/16,Valencia,Betis,0,0,D,22,3,5,1,17,15,7,1,4,2,0,1,Ничья,Ничья
Сезон 15/16,Barcelona,Levante,4,1,H,21,11,8,4,8,16,4,4,0,1,0,0,Barcelona,Levante
Сезон 15/16,Sevilla,Celta,1,2,A,13,15,5,5,16,16,5,5,3,5,0,1,Celta,Sevilla
Сезон 15/16,Villarreal,Ath Bilbao,3,1,H,14,11,7,2,17,6,9,4,4,4,0,0,Villarreal,Ath Bilbao
Сезон 15/16,Ath Madrid,Getafe,2,0,H,12,6,3,2,14,10,6,1,3,2,0,0,Ath Madrid,Getafe
Сезон 15/16,Espanol,Valencia,1,0,H,17,10,5,4,22,14,7,6,5,7,0,0,Espanol,Valencia
Сезон 15/16,Granada,Sociedad,0,3,A,11,8,1,5,20,18,4,3,5,4,0,0,Sociedad,Granada
Сезон 15/16,Ath Bilbao,Real Madrid,1,2,A,11,22,5,6,17,10,6,8,4,3,0,0,Real Madrid,Ath Bilbao
Сезон 15/16,Celta,Barcelona,4,1,H,18,18,5,7,19,4,5,10,2,2,0,0,Celta,Barcelona
Сезон 15/16,Levante,Eibar,2,2,D,12,10,2,4,13,23,4,7,2,5,0,0,Ничья,Ничья
Сезон 15/16,Valencia,Granada,1,0,H,12,18,5,3,19,20,11,3,3,3,0,0,Valencia,Granada
Сезон 15/16,Eibar,Celta,1,1,D,10,9,3,2,25,16,4,4,5,4,0,0,Ничья,Ничья
Сезон 15/16,Villarreal,Ath Madrid,1,0,H,5,9,2,4,11,15,1,5,2,2,0,0,Villarreal,Ath Madrid
Сезон 15/16,Getafe,Levante,3,0,H,15,10,8,3,11,10,4,4,2,3,0,0,Getafe,Levante
Сезон 15/16,Sociedad,Ath Bilbao,0,0,D,14,9,4,2,15,19,4,2,3,4,0,0,Ничья,Ничья
Сезон 15/16,Celta,Getafe,0,0,D,18,8,7,2,11,18,9,1,1,5,0,0,Ничья,Ничья
Сезон 15/16,Sevilla,Barcelona,2,1,H,12,28,5,9,16,16,7,9,5,3,0,0,Sevilla,Barcelona
Сезон 15/16,Ath Bilbao,Valencia,3,1,H,16,9,7,4,12,9,11,4,0,4,0,0,Ath Bilbao,Valencia
Сезон 15/16,Ath Madrid,Real Madrid,1,1,D,18,9,4,2,19,12,5,1,6,4,0,0,Ничья,Ничья
Сезон 15/16,Levante,Villarreal,1,0,H,15,3,5,2,15,17,8,2,4,3,0,1,Levante,Villarreal
Сезон 15/16,Betis,Espanol,1,3,A,21,13,6,4,18,21,4,3,2,4,0,0,Espanol,Betis
Сезон 15/16,Eibar,Sevilla,1,1,D,14,15,4,5,16,9,2,5,3,3,0,0,Ничья,Ничья
Сезон 15/16,Real Madrid,Levante,3,0,H,20,15,6,5,8,10,4,4,1,4,0,0,Real Madrid,Levante
Сезон 15/16,Sociedad,Ath Madrid,0,2,A,11,7,1,3,14,11,5,2,4,5,2,0,Ath Madrid,Sociedad
Сезон 15/16,Villarreal,Celta,1,2,A,12,13,3,2,10,12,7,4,1,3,1,0,Celta,Villarreal
Сезон 15/16,Celta,Real Madrid,1,3,A,17,14,7,8,17,16,5,7,4,1,1,0,Real Madrid,Celta
Сезон 15/16,Granada,Betis,1,1,D,17,7,7,2,8,11,3,3,3,3,0,0,Ничья,Ничья
Сезон 15/16,Sevilla,Getafe,5,0,H,22,6,13,0,18,15,7,3,1,1,0,1,Sevilla,Getafe
Сезон 15/16,Ath Madrid,Valencia,2,1,H,16,6,8,1,26,10,9,2,4,4,0,0,Ath Madrid,Valencia
Сезон 15/16,Barcelona,Eibar,3,1,H,14,7,5,5,14,18,6,2,3,5,1,0,Barcelona,Eibar
Сезон 15/16,Levante,Sociedad,0,4,A,13,13,3,6,24,15,10,3,4,3,1,0,Sociedad,Levante
Сезон 15/16,Getafe,Barcelona,0,2,A,6,14,0,6,10,3,3,5,3,0,0,0,Barcelona,Getafe
Сезон 15/16,Sociedad,Celta,2,3,A,20,16,5,8,9,12,8,7,2,5,0,0,Celta,Sociedad
Сезон 15/16,Valencia,Levante,3,0,H,13,10,6,5,19,21,5,5,2,3,0,0,Valencia,Levante
Сезон 15/16,Villarreal,Sevilla,2,1,H,11,6,5,3,17,14,7,5,5,3,0,0,Villarreal,Sevilla
Сезон 15/16,Betis,Ath Bilbao,1,3,A,11,23,3,9,9,13,7,9,2,4,0,0,Ath Bilbao,Betis
Сезон 15/16,Espanol,Granada,1,1,D,10,9,4,5,16,19,5,6,1,6,1,0,Ничья,Ничья
Сезон 15/16,Celta,Valencia,1,5,A,17,9,3,5,16,27,15,5,1,3,0,0,Valencia,Celta
Сезон 15/16,Eibar,Getafe,3,1,H,16,10,7,4,13,9,5,7,3,1,0,1,Eibar,Getafe
Сезон 15/16,Ath Bilbao,Espanol,2,1,H,8,5,2,1,17,25,4,5,2,6,0,0,Ath Bilbao,Espanol
Сезон 15/16,Barcelona,Villarreal,3,0,H,20,5,9,2,12,19,7,2,5,3,0,0,Barcelona,Villarreal
Сезон 15/16,Sevilla,Real Madrid,3,2,H,14,28,5,10,13,11,4,6,1,1,0,0,Sevilla,Real Madrid
Сезон 15/16,Real Madrid,Barcelona,0,4,A,13,18,7,7,13,10,10,4,3,2,1,0,Barcelona,Real Madrid
Сезон 15/16,Sociedad,Sevilla,2,0,H,14,12,7,5,6,14,7,5,2,1,0,0,Sociedad,Sevilla
Сезон 15/16,Betis,Ath Madrid,0,1,A,6,11,3,4,12,8,2,6,1,4,0,0,Ath Madrid,Betis
Сезон 15/16,Granada,Ath Bilbao,2,0,H,8,11,1,6,21,15,2,7,6,3,0,0,Granada,Ath Bilbao
Сезон 15/16,Villarreal,Eibar,1,1,D,12,17,5,7,8,13,12,6,3,2,0,1,Ничья,Ничья
Сезон 15/16,Levante,Betis,0,1,A,14,11,1,5,12,15,7,4,6,4,1,1,Betis,Levante
Сезон 15/16,Ath Madrid,Espanol,1,0,H,21,5,6,0,16,26,6,2,0,4,0,0,Ath Madrid,Espanol
Сезон 15/16,Barcelona,Sociedad,4,0,H,11,10,6,2,11,14,6,4,0,5,0,0,Barcelona,Sociedad
Сезон 15/16,Eibar,Real Madrid,0,2,A,8,17,3,6,20,7,6,5,3,4,0,0,Real Madrid,Eibar
Сезон 15/16,Getafe,Villarreal,2,0,H,11,7,5,0,11,15,6,6,4,2,0,0,Getafe,Villarreal
Сезон 15/16,Sevilla,Valencia,1,0,H,15,0,5,0,26,20,17,0,3,2,0,2,Sevilla,Valencia
Сезон 15/16,Betis,Celta,1,1,D,27,5,6,1,9,16,8,0,5,5,0,1,Ничья,Ничья
Сезон 15/16,Granada,Ath Madrid,0,2,A,18,11,3,4,7,8,6,8,2,1,0,0,Ath Madrid,Granada
Сезон 15/16,Real Madrid,Getafe,4,1,H,16,7,8,3,9,12,3,4,1,0,0,0,Real Madrid,Getafe
Сезон 15/16,Valencia,Barcelona,1,1,D,10,16,3,5,13,15,0,6,3,1,0,0,Ничья,Ничья
Сезон 15/16,Sociedad,Eibar,2,1,H,10,5,7,1,12,16,4,3,3,3,0,0,Sociedad,Eibar
Сезон 15/16,Espanol,Levante,1,1,D,9,12,1,5,13,14,2,6,4,5,0,0,Ничья,Ничья
Сезон 15/16,Getafe,Sociedad,1,1,D,9,10,5,6,15,12,5,5,3,3,0,0,Ничья,Ничья
Сезон 15/16,Celta,Espanol,1,0,H,16,6,3,2,13,23,4,9,3,2,1,0,Celta,Espanol
Сезон 15/16,Levante,Granada,1,2,A,7,8,5,3,25,27,2,1,2,2,0,0,Granada,Levante
Сезон 15/16,Ath Madrid,Ath Bilbao,2,1,H,8,10,4,5,13,10,3,6,1,1,0,0,Ath Madrid,Ath Bilbao
Сезон 15/16,Eibar,Valencia,1,1,D,14,6,5,1,20,14,9,2,4,4,1,1,Ничья,Ничья
Сезон 15/16,Villarreal,Real Madrid,1,0,H,7,20,3,1,11,9,3,9,2,2,0,0,Villarreal,Real Madrid
Сезон 15/16,Betis,Sevilla,0,0,D,12,8,0,2,23,19,8,8,7,5,0,0,Ничья,Ничья
Сезон 15/16,Valencia,Getafe,2,2,D,12,9,7,3,13,20,5,1,2,6,0,0,Ничья,Ничья
Сезон 15/16,Ath Bilbao,Levante,2,0,H,18,6,7,1,15,17,10,3,0,5,0,0,Ath Bilbao,Levante
Сезон 15/16,Granada,Celta,0,2,A,11,10,1,4,17,11,9,3,4,2,0,0,Celta,Granada
Сезон 15/16,Sociedad,Villarreal,0,2,A,16,7,2,5,12,21,9,1,2,1,0,0,Villarreal,Sociedad
Сезон 15/16,Barcelona,Betis,4,0,H,16,11,7,4,16,20,2,3,1,3,0,0,Barcelona,Betis
Сезон 15/16,Celta,Ath Bilbao,0,1,A,7,13,3,5,11,11,3,3,3,4,0,0,Ath Bilbao,Celta
Сезон 15/16,Real Madrid,Sociedad,3,1,H,23,13,13,2,12,9,13,2,1,4,0,0,Real Madrid,Sociedad
Сезон 15/16,Sevilla,Espanol,2,0,H,15,12,10,1,15,16,6,6,3,3,0,0,Sevilla,Espanol
Сезон 15/16,Villarreal,Valencia,1,0,H,9,6,3,2,21,19,3,6,1,3,0,0,Villarreal,Valencia
Сезон 15/16,Ath Madrid,Levante,1,0,H,16,9,2,1,12,14,13,1,0,4,0,0,Ath Madrid,Levante
Сезон 15/16,Espanol,Barcelona,0,0,D,4,10,1,2,22,10,6,10,5,3,0,0,Ничья,Ничья
Сезон 15/16,Betis,Eibar,0,4,A,9,6,5,5,16,14,6,2,4,3,0,0,Eibar,Betis
Сезон 15/16,Granada,Sevilla,2,1,H,9,14,4,7,17,13,2,9,2,2,0,1,Granada,Sevilla
Сезон 15/16,Valencia,Real Madrid,2,2,D,11,17,4,4,18,17,4,7,1,1,0,1,Ничья,Ничья
Сезон 15/16,Barcelona,Granada,4,0,H,17,8,8,4,14,19,7,0,1,4,0,0,Barcelona,Granada
Сезон 15/16,Getafe,Betis,1,0,H,8,11,3,2,19,11,8,4,1,3,0,0,Getafe,Betis
Сезон 15/16,Sevilla,Ath Bilbao,2,0,H,4,11,4,3,14,13,6,8,2,3,0,0,Sevilla,Ath Bilbao
Сезон 15/16,Celta,Ath Madrid,0,2,A,6,10,1,3,14,14,4,4,2,1,0,0,Ath Madrid,Celta
Сезон 15/16,Eibar,Espanol,2,1,H,20,7,6,4,13,15,8,2,3,2,0,0,Eibar,Espanol
Сезон 15/16,Sociedad,Valencia,2,0,H,24,10,7,3,16,13,5,6,3,4,0,0,Sociedad,Valencia
Сезон 15/16,Celta,Levante,4,3,H,14,17,6,7,14,16,6,2,1,4,0,0,Celta,Levante
Сезон 15/16,Villarreal,Betis,0,0,D,9,15,2,2,12,11,7,11,2,1,0,0,Ничья,Ничья
Сезон 15/16,Barcelona,Ath Bilbao,6,0,H,20,9,8,3,6,7,6,2,2,2,0,1,Barcelona,Ath Bilbao
Сезон 15/16,Getafe,Espanol,3,1,H,18,13,4,6,12,13,3,7,2,2,0,0,Getafe,Espanol
Сезон 15/16,Eibar,Granada,5,1,H,12,4,7,1,11,17,3,2,1,4,0,0,Eibar,Granada
Сезон 15/16,Espanol,Villarreal,2,2,D,11,14,5,5,12,15,3,9,3,1,1,0,Ничья,Ничья
Сезон 15/16,Granada,Getafe,3,2,H,20,9,9,2,12,16,5,3,3,3,0,0,Granada,Getafe
Сезон 15/16,Ath Bilbao,Eibar,5,2,H,10,9,5,2,13,14,7,2,2,2,0,0,Ath Bilbao,Eibar
Сезон 15/16,Ath Madrid,Sevilla,0,0,D,21,7,3,1,13,13,8,5,4,3,0,1,Ничья,Ничья
Сезон 15/16,Betis,Real Madrid,1,1,D,4,18,2,8,17,13,1,9,3,2,0,0,Ничья,Ничья
Сезон 15/16,Barcelona,Ath Madrid,2,1,H,10,7,4,4,7,18,8,6,0,3,0,2,Barcelona,Ath Madrid
Сезон 15/16,Getafe,Ath Bilbao,0,1,A,11,13,3,3,13,18,7,5,2,5,1,0,Ath Bilbao,Getafe
Сезон 15/16,Sociedad,Betis,2,1,H,11,8,4,1,13,9,3,4,1,4,0,0,Sociedad,Betis
Сезон 15/16,Villarreal,Granada,1,0,H,12,7,6,2,10,11,8,0,4,3,0,0,Villarreal,Granada
Сезон 15/16,Real Madrid,Espanol,6,0,H,18,15,7,5,20,20,3,1,1,5,0,0,Real Madrid,Espanol
Сезон 15/16,Sevilla,Levante,3,1,H,14,22,8,4,8,8,5,9,1,1,0,0,Sevilla,Levante
Сезон 15/16,Ath Bilbao,Villarreal,0,0,D,10,2,1,2,19,20,5,3,4,4,1,1,Ничья,Ничья
Сезон 15/16,Ath Madrid,Eibar,3,1,H,13,6,4,2,15,18,5,2,2,3,0,0,Ath Madrid,Eibar
Сезон 15/16,Betis,Valencia,1,0,H,6,7,2,2,17,19,4,5,4,5,0,1,Betis,Valencia
Сезон 15/16,Celta,Sevilla,1,1,D,25,9,5,2,15,16,10,5,3,3,0,1,Ничья,Ничья
Сезон 15/16,Granada,Real Madrid,1,2,A,14,14,2,4,20,8,3,6,3,2,0,0,Real Madrid,Granada
Сезон 15/16,Levante,Barcelona,0,2,A,11,11,3,4,15,10,2,5,4,3,0,0,Barcelona,Levante
Сезон 15/16,Espanol,Sociedad,0,5,A,5,12,1,6,13,11,4,5,1,2,0,0,Sociedad,Espanol
Сезон 15/16,Real Madrid,Ath Bilbao,4,2,H,19,10,9,3,6,8,5,2,1,2,1,0,Real Madrid,Ath Bilbao
Сезон 15/16,Valencia,Espanol,2,1,H,17,19,4,6,8,19,9,9,1,3,0,0,Valencia,Espanol
Сезон 15/16,Barcelona,Celta,6,1,H,19,10,11,4,10,16,1,1,0,4,0,0,Barcelona,Celta
Сезон 15/16,Eibar,Levante,2,0,H,15,8,6,3,15,12,8,2,3,2,0,0,Eibar,Levante
Сезон 15/16,Getafe,Ath Madrid,0,1,A,11,6,0,3,9,9,5,4,2,3,0,0,Ath Madrid,Getafe
Сезон 15/16,Sociedad,Granada,3,0,H,12,15,6,2,9,18,7,13,1,2,0,0,Sociedad,Granada
Сезон 15/16,Levante,Getafe,3,0,H,12,14,6,6,12,13,6,8,2,2,0,0,Levante,Getafe
Сезон 15/16,Celta,Eibar,3,2,H,14,7,9,3,6,25,6,1,3,2,0,0,Celta,Eibar
Сезон 15/16,Ath Bilbao,Sociedad,0,1,A,9,9,2,4,21,16,9,3,7,6,0,0,Sociedad,Ath Bilbao
Сезон 15/16,Ath Madrid,Villarreal,0,0,D,12,5,3,0,11,13,10,2,2,2,0,0,Ничья,Ничья
Сезон 15/16,Granada,Valencia,1,2,A,15,10,4,6,18,18,6,3,2,3,0,0,Valencia,Granada
Сезон 15/16,Getafe,Celta,0,1,A,14,9,2,3,11,14,4,5,3,4,0,0,Celta,Getafe
Сезон 15/16,Real Madrid,Ath Madrid,0,1,A,15,9,3,5,15,13,2,5,3,4,0,0,Ath Madrid,Real Madrid
Сезон 15/16,Barcelona,Sevilla,2,1,H,17,11,8,4,13,10,6,7,3,2,0,0,Barcelona,Sevilla
Сезон 15/16,Valencia,Ath Bilbao,0,3,A,9,13,3,4,9,13,7,7,2,0,0,0,Ath Bilbao,Valencia
Сезон 15/16,Villarreal,Levante,3,0,H,9,7,3,1,15,12,3,4,0,2,0,1,Villarreal,Levante
Сезон 15/16,Ath Madrid,Sociedad,3,0,H,12,7,5,1,19,10,8,1,1,2,0,0,Ath Madrid,Sociedad
Сезон 15/16,Celta,Villarreal,0,0,D,11,6,4,3,9,2,2,1,2,5,0,0,Ничья,Ничья
Сезон 15/16,Levante,Real Madrid,1,3,A,11,21,4,8,12,11,3,10,2,1,0,0,Real Madrid,Levante
Сезон 15/16,Sevilla,Eibar,1,0,H,14,11,4,6,12,13,12,6,1,2,0,1,Sevilla,Eibar
Сезон 15/16,Espanol,Betis,0,3,A,16,9,3,6,20,13,5,0,4,2,0,0,Betis,Espanol
Сезон 15/16,Getafe,Sevilla,1,1,D,13,7,3,4,12,14,10,9,5,2,0,0,Ничья,Ничья
Сезон 15/16,Real Madrid,Celta,7,1,H,20,8,12,3,13,12,10,5,2,3,0,0,Real Madrid,Celta
Сезон 15/16,Betis,Granada,2,0,H,10,10,4,4,9,19,6,4,3,7,1,1,Betis,Granada
Сезон 15/16,Eibar,Barcelona,0,4,A,7,9,0,7,18,10,6,2,3,2,0,0,Barcelona,Eibar
Сезон 15/16,Sociedad,Levante,1,1,D,15,10,3,3,12,16,10,3,3,3,0,0,Ничья,Ничья
Сезон 15/16,Valencia,Ath Madrid,1,3,A,10,21,3,5,13,11,6,7,1,1,1,0,Ath Madrid,Valencia
Сезон 15/16,Barcelona,Getafe,6,0,H,16,6,9,1,7,13,5,3,0,3,0,0,Barcelona,Getafe
Сезон 15/16,Celta,Sociedad,1,0,H,7,15,1,6,21,9,5,3,3,2,0,0,Celta,Sociedad
Сезон 15/16,Ath Bilbao,Betis,3,1,H,18,3,9,1,12,9,5,6,1,0,0,0,Ath Bilbao,Betis
Сезон 15/16,Levante,Valencia,1,0,H,13,6,6,1,16,16,8,0,2,4,0,0,Levante,Valencia
Сезон 15/16,Sevilla,Villarreal,4,2,H,14,13,4,6,10,12,5,8,1,1,1,0,Sevilla,Villarreal
Сезон 15/16,Granada,Espanol,1,1,D,8,10,1,2,12,20,2,8,5,3,1,0,Ничья,Ничья
Сезон 15/16,Getafe,Eibar,1,1,D,8,20,4,6,12,12,3,3,1,2,0,0,Ничья,Ничья
Сезон 15/16,Espanol,Ath Bilbao,2,1,H,16,14,7,4,7,13,6,2,3,3,0,0,Espanol,Ath Bilbao
Сезон 15/16,Real Madrid,Sevilla,4,0,H,26,8,12,4,10,9,8,8,2,2,0,0,Real Madrid,Sevilla
Сезон 15/16,Valencia,Celta,0,2,A,14,13,4,6,14,14,4,5,1,0,0,0,Celta,Valencia
Сезон 15/16,Villarreal,Barcelona,2,2,D,15,15,6,6,17,9,4,4,8,4,0,0,Ничья,Ничья
Сезон 15/16,Ath Madrid,Betis,5,1,H,19,8,12,5,14,12,5,5,1,3,0,0,Ath Madrid,Betis
Сезон 15/16,Barcelona,Real Madrid,1,2,A,14,14,3,6,17,15,4,3,3,2,0,1,Real Madrid,Barcelona
Сезон 15/16,Ath Bilbao,Granada,1,1,D,8,9,1,2,16,14,13,1,2,5,0,0,Ничья,Ничья
Сезон 15/16,Eibar,Villarreal,1,2,A,10,8,3,4,15,12,4,3,3,3,0,0,Villarreal,Eibar
Сезон 15/16,Sevilla,Sociedad,1,2,A,15,9,6,2,22,12,8,3,4,3,0,1,Sociedad,Sevilla
Сезон 15/16,Betis,Levante,1,0,H,7,12,2,3,13,18,4,3,4,3,0,0,Betis,Levante
Сезон 15/16,Espanol,Ath Madrid,1,3,A,10,14,3,5,13,14,3,5,2,2,0,0,Ath Madrid,Espanol
Сезон 15/16,Real Madrid,Eibar,4,0,H,13,9,6,2,9,13,6,7,1,3,0,0,Real Madrid,Eibar
Сезон 15/16,Sociedad,Barcelona,1,0,H,5,13,1,6,14,13,5,9,1,3,0,0,Sociedad,Barcelona
Сезон 15/16,Valencia,Sevilla,2,1,H,23,7,9,4,15,18,10,3,2,2,0,0,Valencia,Sevilla
Сезон 15/16,Villarreal,Getafe,2,0,H,13,16,3,3,9,12,8,5,2,2,0,0,Villarreal,Getafe
Сезон 15/16,Levante,Espanol,2,1,H,12,10,4,2,10,12,4,6,5,0,0,0,Levante,Espanol
Сезон 15/16,Celta,Betis,1,1,D,18,9,5,4,14,18,12,4,4,3,0,0,Ничья,Ничья
Сезон 15/16,Eibar,Sociedad,2,1,H,9,7,4,4,16,11,2,0,3,3,0,0,Eibar,Sociedad
Сезон 15/16,Getafe,Real Madrid,1,5,A,12,21,5,11,10,10,5,6,4,1,0,0,Real Madrid,Getafe
Сезон 15/16,Ath Madrid,Granada,3,0,H,8,11,3,0,16,14,4,2,3,5,0,0,Ath Madrid,Granada
Сезон 15/16,Barcelona,Valencia,1,2,A,22,7,7,2,12,15,7,2,3,3,0,0,Valencia,Barcelona
Сезон 15/16,Espanol,Celta,1,1,D,8,3,3,1,15,13,2,2,1,1,0,0,Ничья,Ничья
Сезон 15/16,Ath Bilbao,Ath Madrid,0,1,A,12,8,6,2,9,6,6,4,0,0,0,0,Ath Madrid,Ath Bilbao
Сезон 15/16,Real Madrid,Villarreal,3,0,H,20,5,6,2,9,8,11,1,2,1,0,0,Real Madrid,Villarreal
Сезон 15/16,Valencia,Eibar,4,0,H,9,9,6,2,10,6,6,3,1,2,0,0,Valencia,Eibar
Сезон 15/16,Granada,Levante,5,1,H,13,15,6,5,16,11,3,4,6,5,0,1,Granada,Levante
Сезон 15/16,Sociedad,Getafe,1,2,A,14,7,5,3,10,17,8,2,2,4,0,0,Getafe,Sociedad
Сезон 15/16,Getafe,Valencia,2,2,D,18,5,11,4,14,12,8,2,4,1,0,0,Ничья,Ничья
Сезон 15/16,Levante,Ath Bilbao,2,2,D,10,19,5,8,13,8,4,9,2,1,0,0,Ничья,Ничья
Сезон 15/16,Sevilla,Betis,2,0,H,13,8,3,2,25,13,8,5,5,4,0,0,Sevilla,Betis
Сезон 15/16,Villarreal,Sociedad,0,0,D,8,7,3,2,17,12,3,5,4,1,0,0,Ничья,Ничья
Сезон 15/16,Celta,Granada,2,1,H,15,11,4,3,13,15,4,4,2,2,0,0,Celta,Granada
Сезон 15/16,Betis,Barcelona,0,2,A,2,11,1,4,9,11,2,4,3,3,1,0,Barcelona,Betis
